academic_year,faculty,department,program_name,program_code,score_type,scholarship_type,quota,placed_students,vacant_quota,occupancy_rate,base_score,highest_score,success_rank
2023,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (İngilizce) (Ücretli) (4 Yıllık),,EA,Ücretli,42,42,,1,219.32061,,1295620
2022,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (İngilizce) (Ücretli) (4 Yıllık),,EA,Ücretli,39,39,,1,279.36689,,567803
2025,Güzel Sanatlar ve Tasarım Fakültesi,İç Mimarlık ve Çevre Tasarımı,İç Mimarlık ve Çevre Tasarımı (İngilizce) (Ücretli) (4 Yıllık),,EA,Ücretli,2,2,,1,236.30431,,967784
2024,Güzel Sanatlar ve Tasarım Fakültesi,İç Mimarlık ve Çevre Tasarımı,İç Mimarlık ve Çevre Tasarımı (İngilizce) (Ücretli) (4 Yıllık),,EA,Ücretli,4,4,,1,260.78761,,701326
2023,Güzel Sanatlar ve Tasarım Fakültesi,İç Mimarlık ve Çevre Tasarımı,İç Mimarlık ve Çevre Tasarımı (İngilizce) (Ücretli) (4 Yıllık),,EA,Ücretli,4,4,,1,255.46321,,821979
2022,Güzel Sanatlar ve Tasarım Fakültesi,İç Mimarlık ve Çevre Tasarımı,İç Mimarlık ve Çevre Tasarımı (İngilizce) (Ücretli) (4 Yıllık),,EA,Ücretli,4,4,,1,274.49271,,612044
2025,İnsan ve Toplum Bilimleri Fakültesi,Yönetim Bilişim Sistemleri,Yönetim Bilişim Sistemleri (Ücretli) (4 Yıllık),,EA,Ücretli,2,2,,1,223.6973,,1115242
2024,İnsan ve Toplum Bilimleri Fakültesi,Yönetim Bilişim Sistemleri,Yönetim Bilişim Sistemleri (Ücretli) (4 Yıllık),,EA,Ücretli,4,3,,0.75,,,
2023,İnsan ve Toplum Bilimleri Fakültesi,Yönetim Bilişim Sistemleri,Yönetim Bilişim Sistemleri (Ücretli) (4 Yıllık),,EA,Ücretli,2,2,,1,266.58157,,701073
2022,İnsan ve Toplum Bilimleri Fakültesi,Yönetim Bilişim Sistemleri,Yönetim Bilişim Sistemleri (Ücretli) (4 Yıllık),,EA,Ücretli,,,,,,,
2025,İnsan ve Toplum Bilimleri Fakültesi,Yönetim Bilişim Sistemleri,Yönetim Bilişim Sistemleri (İngilizce) (Ücretli) (4 Yıllık),,EA,Ücretli,2,2,,1,218.41367,,1174399
2024,İnsan ve Toplum Bilimleri Fakültesi,Yönetim Bilişim Sistemleri,Yönetim Bilişim Sistemleri (İngilizce) (Ücretli) (4 Yıllık),,EA,Ücretli,4,4,,1,237.88389,,993020
2023,İnsan ve Toplum Bilimleri Fakültesi,Yönetim Bilişim Sistemleri,Yönetim Bilişim Sistemleri (İngilizce) (Ücretli) (4 Yıllık),,EA,Ücretli,5,5,,1,256.70307,,807913
2022,İnsan ve Toplum Bilimleri Fakültesi,Yönetim Bilişim Sistemleri,Yönetim Bilişim Sistemleri (İngilizce) (Ücretli) (4 Yıllık),,EA,Ücretli,6,6,,1,274.78398,,609371
2025,İnsan ve Toplum Bilimleri Fakültesi,İşletme,İşletme (İngilizce) (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,42,30,,0.714286,,,
2024,İnsan ve Toplum Bilimleri Fakültesi,İşletme,İşletme (İngilizce) (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,34,34,,1,200.28815,,1507528
2023,İnsan ve Toplum Bilimleri Fakültesi,İşletme,İşletme (İngilizce) (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,25,25,,1,243.54757,,965259
2022,İnsan ve Toplum Bilimleri Fakültesi,İşletme,İşletme (İngilizce) (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,13,13,,1,252.7194,,844478
