sebep,source_file,program_code,program_name,university,academic_year,metric,value
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,first_choice_placements,0.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,placed_male,9.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,placed_female,9.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,quota,18.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,placed_high_school,5.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,highest_score,452.33061
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,placed_graduate,10.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,base_score,388.10015
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,success_rank,80187.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,preference_first,41.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,preference_top9,218.0
